1,19,45,57,62,90
2,4,9,23,31,41
3,6,22,51,65,75
4,11,23,46,53,66
5,36,37,49,62,86
6,14,16,26,67,85
7,10,12,26,32,73
8,27,40,53,58,73
9,14,23,35,53,81
10,2,4,14,35,43
11,24,28,33,65,72
12,7,35,41,52,78
13,26,52,53,74,89
14,1,63,73,79,90
15,3,14,31,43,89
16,6,10,26,39,73
17,7,25,38,86,90
18,1,27,61,77,79
19,19,24,30,76,86
20,6,41,42,50,88
21,18,76,77,82,84
22,36,54,63,76,90
23,12,17,29,53,54
24,28,56,70,78,89
25,10,30,47,59,83
26,10,43,56,61,74
27,34,51,53,70,86
28,29,32,38,53,87
29,8,19,21,42,72
30,32,36,48,52,80
31,9,14,38,43,73
32,27,36,42,44,82
33,34,42,43,59,71
34,11,16,42,56,59
35,7,67,79,86,88
36,35,65,67,74,81
37,16,27,30,40,62
38,3,10,13,17,75
39,20,21,48,55,61
40,5,37,39,50,87
41,6,17,22,36,71
42,20,33,48,82,90
43,16,31,61,79,85
44,1,7,14,20,80
45,4,6,18,42,89
46,18,20,43,55,80
47,20,27,39,54,85
48,17,26,36,65,80
49,30,38,49,75,83
50,11,26,47,63,68
51,5,21,60,67,77
52,9,27,29,65,89
